Worker ID,Worker Type,National ID,National ID Type,Issued Date,Expiration Date,Verification Date,Series,Issuing Agency,Verified By Worker Type,Verified By
E123456,EE,784198029215944,ARE-ID,,,,,,,
E123457,EE,784198187970511,ARE-ID,,,,,,,
E123458,EE,784198535498456,ARE-ID,,,,,,,
E123459,EE,784198581696987,ARE-ID,,,,,,,
E123460,EE,784199197919000,ARE-ID,,,,,,,
E123461,EE,79073111222,BEL-NISS,,,,,,,
E123462,EE,12345678912,BRA-CPF,,,,,,,
E123463,EE,12345678913,BRA-CPF,,,,,,,
E123464,EE,12345678914,BRA-CPF,,,,,,,
E123465,EE,12345678915,BRA-CPF,,,,,,,
